### Module positions - created on 07/31/17 22:02:23 ###
### Printed by Pcbnew version kicad 4.0.6
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val                         Package                                 PosX       PosY       Rot  Side
						
REF1T	  0.6mm	                      Circle                              93.6498     -31.9278   0.0000  top
REF2T	  0.6mm		              Circle                              157.7086    -137.6934  0.0000  top
REF1B	  0.6mm	                      Circle                              155.9306    -37.338    0.0000  bottom
REF2B	  0.6mm	                      Circle                              92.6084     -139.065   0.0000  bottom

C7        0.1uF                       C_0402                              128.0000   -65.5000  270.0000  bottom
C10       0.1uF                       C_0402                              128.0000   -54.0000   90.0000  bottom
C18       0.1uF                       C_0402                              110.0074   -60.6044  180.0000  bottom
C19       10uF                        C_0805                              135.4074   -81.9404    0.0000  bottom
C23       0.1uF                       C_0402                              126.1960   -78.1050  180.0000  bottom
C27       0.1uF                       C_0402                              126.2380  -108.7374   90.0000  bottom
C28       0.1uF                       C_0402                              134.8740  -114.7064    0.0000  bottom
C31       0.1uF                       C_0402                              118.7284  -127.9652    0.0000  bottom
C32       0.1uF                       C_0402                              126.2888  -127.4064  180.0000  bottom
C33       0.1uF                       C_0402                              109.6938   -70.8660  180.0000  bottom
C35       0.1uF                       C_0402                              117.4496   -55.4228  180.0000  bottom
C36       0.1uF                       C_0402                              117.6020   -60.9854    0.0000  bottom
J1        ASP-134488-01               ASP-134488-01                       125.0000   -40.0000  180.0000  bottom
J2        QTH-060-01-L-D-A            QTH-060-01-L-D-A                    149.9136  -112.3759  270.0000  bottom
R69       2.2k                        R_0805                              123.2052   -65.9384    0.0000  bottom
R71       2.2k                        R_0805                              136.0000   -54.0000  180.0000  bottom
R73       4.7k                        R_0805                              136.0000   -64.0000    0.0000  bottom
C1        10uF                        C_0805                              151.8000   -64.7000  180.0000  top
C2        10uF                        C_0805                              146.5500   -55.4990  270.0000  top
C5        1uF                         C_0603                              136.0000   -61.5000    0.0000  top
C6        1uF                         C_0603                              121.3866   -63.9318  180.0000  top
C8        0.1uF                       C_0402                              122.0000   -61.0000  180.0000  top
C9        0.1uF                       C_0402                              133.2500   -63.5000    0.0000  top
C11       0.1uF                       C_0402                               96.9860  -131.7244    0.0000  top
C12       0.1uF                       C_0402                              119.5324  -130.5560  270.0000  top
C13       0.1uF                       C_0402                              108.9152  -131.5974  180.0000  top
C14       0.1uF                       C_0402                              130.2512  -131.1148  270.0000  top
C15       0.1uF                       C_0402                              103.7844   -66.8020  270.0000  top
C16       0.1uF                       C_0402                              103.6066   -79.5274   90.0000  top
C17       0.1uF                       C_0402                              110.2106   -54.6862    0.0000  top
C20       1uF                         C_0603                              120.8024   -83.8708   90.0000  top
C21       0.1uF                       C_0402                              123.4948   -87.6046  270.0000  top
C22       0.1uF                       C_0402                              134.1374   -85.2678    0.0000  top
C24       10uF                        C_0805                              130.9624  -101.9556   90.0000  top
C25       1uF                         C_0603                              132.2578  -118.5164  180.0000  top
C26       0.1uF                       C_0402                              135.1534  -104.8004    0.0000  top
C29       0.1uF                       C_0402                               97.0280  -135.5852    0.0000  top
C30       0.1uF                       C_0402                              109.1184  -135.3058  180.0000  top
C34       0.1uF                       C_0402                              109.3724   -78.0796  180.0000  top
R1        0k                          R_0805                              142.1384   -34.9758  180.0000  top
R2        0k                          R_0805                              116.3066  -128.8796  180.0000  top
R3        220                         R_0805                              113.9850  -119.8118  180.0000  top
R4        220                         R_0805                              117.9170  -119.7864    0.0000  top
R5        47                          R_0805                              114.6302  -116.3574  270.0000  top
R6        47                          R_0805                              117.2718  -116.3574  270.0000  top
R7        12                          R_0805                              113.9850  -112.8776  180.0000  top
R8        12                          R_0805                              117.9068  -112.8776    0.0000  top
R9        220                         R_0805                              100.6348  -106.3904   90.0000  top
R10       220                         R_0805                              100.6602  -110.2716  270.0000  top
R11       47                          R_0805                              104.1044  -107.0314  180.0000  top
R12       47                          R_0805                              104.1044  -109.6264  180.0000  top
R13       12                          R_0805                              107.6198  -106.4158   90.0000  top
R14       12                          R_0805                              107.5944  -110.2970  270.0000  top
R15       220                         R_0805                              103.2256   -98.0084   90.0000  top
R16       220                         R_0805                              103.2256  -101.9404  270.0000  top
R17       47                          R_0805                              106.6952   -98.6536  180.0000  top
R18       47                          R_0805                              106.6698  -101.2698  180.0000  top
R19       12                          R_0805                              110.1598   -98.0084   90.0000  top
R20       12                          R_0805                              110.1344  -101.9150  270.0000  top
R21       220                         R_0805                              105.1204   -83.9216  180.0000  top
R22       220                         R_0805                              109.0016   -83.8962    0.0000  top
R23       47                          R_0805                              105.7910   -87.3404   90.0000  top
R24       47                          R_0805                              108.3564   -87.3150   90.0000  top
R25       12                          R_0805                              105.1204   -90.7542  180.0000  top
R26       12                          R_0805                              109.0016   -90.7796    0.0000  top
R27       220                         R_0805                              119.8270   -92.8116  180.0000  top
R28       220                         R_0805                              123.7336   -92.8116    0.0000  top
R29       47                          R_0805                              120.4722   -96.2050   90.0000  top
R30       47                          R_0805                              123.0884   -96.2050   90.0000  top
R31       12                          R_0805                              119.8270   -99.7204  180.0000  top
R32       12                          R_0805                              123.7500   -99.7458    0.0000  top
R33       0k                          R_0805                              116.2812  -131.6736  180.0000  top
R34       0k                          R_0805                              117.5512  -134.4930  180.0000  top
R35       0k                          R_0805                              117.5258  -137.2870  180.0000  top
R36       0k                          R_0805                              124.8410  -137.0990    0.0000  top
R37       0k                          R_0805                              125.2220  -123.5100    0.0000  top
R38       220                         R_0402                              116.1542   -71.3409    0.0000  top
R39       220                         R_0402                              113.9698   -71.3409  180.0000  top
R40       47                          R_0402                              115.7732   -73.4822   90.0000  top
R41       47                          R_0402                              114.3254   -73.4568   90.0000  top
R42       12                          R_0402                              116.1288   -75.4126    0.0000  top
R43       12                          R_0402                              113.9698   -75.4126  180.0000  top
R44       220                         R_0402                              125.2982   -71.3409    0.0000  top
R45       220                         R_0402                              123.1138   -71.3409  180.0000  top
R46       47                          R_0402                              124.9172   -73.4568   90.0000  top
R47       47                          R_0402                              123.4694   -73.4568   90.0000  top
R48       12                          R_0402                              125.2728   -75.3872    0.0000  top
R49       12                          R_0402                              123.1392   -75.4126  180.0000  top
R50       220                         R_0402                              134.1882   -71.3486    0.0000  top
R51       220                         R_0402                              132.0038   -71.3409  180.0000  top
R52       47                          R_0402                              133.8326   -73.4568   90.0000  top
R53       47                          R_0402                              132.3594   -73.4568   90.0000  top
R54       12                          R_0402                              134.1882   -75.4126    0.0000  top
R55       12                          R_0402                              132.0292   -75.4126  180.0000  top
R56       220                         R_0402                              143.5608   -71.3409    0.0000  top
R57       220                         R_0402                              141.4018   -71.3409  180.0000  top
R58       47                          R_0402                              143.2052   -73.4568   90.0000  top
R59       47                          R_0402                              141.7574   -73.4568   90.0000  top
R60       12                          R_0402                              143.5862   -75.4126    0.0000  top
R61       12                          R_0402                              141.4018   -75.4126  180.0000  top
R62       0k                          R_0805                              133.1468  -137.2870  180.0000  top
R63       0k                          R_0805                              133.1366  -134.4930  180.0000  top
R64       0k                          R_0805                              133.1366  -131.6736  180.0000  top
R65       0k                          R_0805                              133.1214  -128.8796  180.0000  top
R66       0k                          R_0805                              135.6360  -116.2050    0.0000  top
R67       0k                          R_0805                              117.8306   -83.7438   90.0000  top
R68       4.7k                        R_0805                              122.0000   -58.0000    0.0000  top
R70       4.7k                        R_0805                              122.0000   -55.0000    0.0000  top
R72       4.7k                        R_0805                              136.0000   -56.0000    0.0000  top
R74       4.7k                        R_0805                              136.0000   -59.0000    0.0000  top
R75       0k                          R_0805                              143.0000   -50.0000  180.0000  top
R76       0k                          R_0805                              151.8750   -68.3500  180.0000  top
R77       0k                          R_0805                              142.0622  -132.0038  180.0000  top
R78       0k                          R_0805                              155.6156  -134.0104    0.0000  top
R79       0k                          R_0805                              142.3416   -54.6608    0.0000  top
U1        TS3DDR3812_RUA_42           TS3DDR3812RUAR                      131.2003  -109.5514  180.0000  top
U2        DS25BR440_RTA_40            DS25BR440_SQA40A                    128.0000   -60.0000  270.0000  top
U3        SN74AVCH16T245_DGV_48       DGV48                               105.9942   -72.9234  270.0000  top
U4        TS3DDR3812_RUA_42           TS3DDR3812RUAR                      127.7872   -83.4864   90.0000  top
U5        SN74AVCH16T245_DGV_48       DGV48                               113.7998   -60.0000  270.0000  top
U6        SN74AVCH16T245_DGV_48       DGV48                               124.8306  -130.4254  180.0000  top
U7        SN74AVCH16T245_DGV_48       DGV48                               102.9462  -133.3906    0.0000  top
U8        NCP1117DT25RKG              DPAK-3                              151.9500   -54.6750    0.0000  top
## End
