Source,D:/Projects/HDMI3DMixer/Kicad/Boards/FMC_MIPI_v1/FMC_MIPI_v1.sch
Kicad Rev,Eeschema 4.0.6
Generated Date,30/07/2017 23:09:44

Title,FMC_MIPI_v1
Company,VideoGPU
Revision,1
Date Issue,2017-06-24

Reference,Value,Part Number,Tolerance,Power,Voltage,Library,Library Ref
J2,QTH-060-01-X-D-A_JetsonTXx,hdmi3dmix,QTH-060-01-X-D-A_JetsonTXx
U6,SN74AVCH16T245_DGV_48,SN74AVCH16T245VR,,,,hdmi3dmix,SN74AVCH16T245_DGV_48
R62,0k,RC0805JR-070RL,5%,NA,,device,R
R63,0k,RC0805JR-070RL,5%,NA,,device,R
R35,0k,RC0805JR-070RL,5%,NA,,device,R
R34,0k,RC0805JR-070RL,5%,NA,,device,R
R37,0k,RC0805JR-070RL,5%,NA,,device,R
R36,0k,RC0805JR-070RL,5%,NA,,device,R
R64,0k,RC0805JR-070RL,5%,NA,,device,R
R65,0k,RC0805JR-070RL,5%,NA,,device,R
R33,0k,RC0805JR-070RL,5%,NA,,device,R
R2,0k,RC0805JR-070RL,5%,NA,,device,R
U7,SN74AVCH16T245_DGV_48,SN74AVCH16T245VR,,,,hdmi3dmix,SN74AVCH16T245_DGV_48
U8,NCP1117DT25RKG,NCP1117DT25RKG,,,,hdmi3dmix,NCP1117DT25RKG
C1,10uF,GRM21BC81E106KE51L,10%,,25 VDC,device,C
C2,10uF,GRM21BC81E106KE51L,10%,,25 VDC,device,C
R77,0k,RC0805JR-070RL,5%,NA,,device,R
R78,0k,RC0805JR-070RL,5%,NA,,device,R
R79,0k,RC0805JR-070RL,5%,NA,,device,R
C12,0.1uF,TMK105BJ104KV-F,10%,,25V,device,C
C14,0.1uF,TMK105BJ104KV-F,10%,,25V,device,C
C11,0.1uF,TMK105BJ104KV-F,10%,,25V,device,C
C13,0.1uF,TMK105BJ104KV-F,10%,,25V,device,C
C29,0.1uF,TMK105BJ104KV-F,10%,,25V,device,C
C30,0.1uF,TMK105BJ104KV-F,10%,,25V,device,C
