Reference, Value, Footprint, Datasheet, Part Number, Tolerance, Power, Voltage
"J2","QTH-060-01-X-D-A_JetsonTXx","hdmi3dmix:QTH-060-01-X-D-A-QTH-060-01-X-D-A",""
"U6","SN74AVCH16T245_DGV_48","hdmi3dmix:hdmi3dmix-DGV48","http://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AVCH16T245VR/?qs=sGAEpiMZZMsty6Jaj0%252bBBvekg8rNUJqyqbg9AFB8cOU%3d","SN74AVCH16T245VR","","",""
"R62","0k","Resistors_SMD:R_0805","http://www.mouser.com/ProductDetail/Yageo/RC0805JR-070RL/?qs=sGAEpiMZZMu61qfTUdNhGy0AaN4GKk3uYSsOCeyi3WM%3d","RC0805JR-070RL","5%","NA",""
"R63","0k","Resistors_SMD:R_0805","http://www.mouser.com/ProductDetail/Yageo/RC0805JR-070RL/?qs=sGAEpiMZZMu61qfTUdNhGy0AaN4GKk3uYSsOCeyi3WM%3d","RC0805JR-070RL","5%","NA",""
"R35","0k","Resistors_SMD:R_0805","http://www.mouser.com/ProductDetail/Yageo/RC0805JR-070RL/?qs=sGAEpiMZZMu61qfTUdNhGy0AaN4GKk3uYSsOCeyi3WM%3d","RC0805JR-070RL","5%","NA",""
"R34","0k","Resistors_SMD:R_0805","http://www.mouser.com/ProductDetail/Yageo/RC0805JR-070RL/?qs=sGAEpiMZZMu61qfTUdNhGy0AaN4GKk3uYSsOCeyi3WM%3d","RC0805JR-070RL","5%","NA",""
"R37","0k","Resistors_SMD:R_0805","http://www.mouser.com/ProductDetail/Yageo/RC0805JR-070RL/?qs=sGAEpiMZZMu61qfTUdNhGy0AaN4GKk3uYSsOCeyi3WM%3d","RC0805JR-070RL","5%","NA",""
"R36","0k","Resistors_SMD:R_0805","http://www.mouser.com/ProductDetail/Yageo/RC0805JR-070RL/?qs=sGAEpiMZZMu61qfTUdNhGy0AaN4GKk3uYSsOCeyi3WM%3d","RC0805JR-070RL","5%","NA",""
"R64","0k","Resistors_SMD:R_0805","http://www.mouser.com/ProductDetail/Yageo/RC0805JR-070RL/?qs=sGAEpiMZZMu61qfTUdNhGy0AaN4GKk3uYSsOCeyi3WM%3d","RC0805JR-070RL","5%","NA",""
"R65","0k","Resistors_SMD:R_0805","http://www.mouser.com/ProductDetail/Yageo/RC0805JR-070RL/?qs=sGAEpiMZZMu61qfTUdNhGy0AaN4GKk3uYSsOCeyi3WM%3d","RC0805JR-070RL","5%","NA",""
"R33","0k","Resistors_SMD:R_0805","http://www.mouser.com/ProductDetail/Yageo/RC0805JR-070RL/?qs=sGAEpiMZZMu61qfTUdNhGy0AaN4GKk3uYSsOCeyi3WM%3d","RC0805JR-070RL","5%","NA",""
