### Module positions - created on 07/31/17 22:06:33 ###
### Printed by Pcbnew version kicad 4.0.6
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val                         Package                                 PosX       PosY       Rot  Side
C7        0.1uF                       C_0402                                5.0394    -2.5787  270.0000  bottom
C10       0.1uF                       C_0402                                5.0394    -2.1260   90.0000  bottom
C18       0.1uF                       C_0402                                4.3310    -2.3860  180.0000  bottom
C19       10uF                        C_0805                                5.3310    -3.2260    0.0000  bottom
C23       0.1uF                       C_0402                                4.9683    -3.0750  180.0000  bottom
C27       0.1uF                       C_0402                                4.9700    -4.2810   90.0000  bottom
C28       0.1uF                       C_0402                                5.3100    -4.5160    0.0000  bottom
C31       0.1uF                       C_0402                                4.6743    -5.0380    0.0000  bottom
C32       0.1uF                       C_0402                                4.9720    -5.0160  180.0000  bottom
C33       0.1uF                       C_0402                                4.3187    -2.7900  180.0000  bottom
C35       0.1uF                       C_0402                                4.6240    -2.1820  180.0000  bottom
C36       0.1uF                       C_0402                                4.6300    -2.4010    0.0000  bottom
J1        ASP-134488-01               ASP-134488-01                         4.9213    -1.5748  180.0000  bottom
J2        QTH-060-01-L-D-A            QTH-060-01-L-D-A                      5.9021    -4.4242  270.0000  bottom
R69       2.2k                        R_0805                                4.8506    -2.5960    0.0000  bottom
R71       2.2k                        R_0805                                5.3543    -2.1260  180.0000  bottom
R73       4.7k                        R_0805                                5.3543    -2.5197    0.0000  bottom
C1        10uF                        C_0805                                5.9764    -2.5472  180.0000  top
C2        10uF                        C_0805                                5.7697    -2.1850  270.0000  top
C5        1uF                         C_0603                                5.3543    -2.4213    0.0000  top
C6        1uF                         C_0603                                4.7790    -2.5170  180.0000  top
C8        0.1uF                       C_0402                                4.8031    -2.4016  180.0000  top
C9        0.1uF                       C_0402                                5.2461    -2.5000    0.0000  top
C11       0.1uF                       C_0402                                3.8183    -5.1860    0.0000  top
C12       0.1uF                       C_0402                                4.7060    -5.1400  270.0000  top
C13       0.1uF                       C_0402                                4.2880    -5.1810  180.0000  top
C14       0.1uF                       C_0402                                5.1280    -5.1620  270.0000  top
C15       0.1uF                       C_0402                                4.0860    -2.6300  270.0000  top
C16       0.1uF                       C_0402                                4.0790    -3.1310   90.0000  top
C17       0.1uF                       C_0402                                4.3390    -2.1530    0.0000  top
C20       1uF                         C_0603                                4.7560    -3.3020   90.0000  top
C21       0.1uF                       C_0402                                4.8620    -3.4490  270.0000  top
C22       0.1uF                       C_0402                                5.2810    -3.3570    0.0000  top
C24       10uF                        C_0805                                5.1560    -4.0140   90.0000  top
C25       1uF                         C_0603                                5.2070    -4.6660  180.0000  top
C26       0.1uF                       C_0402                                5.3210    -4.1260    0.0000  top
C29       0.1uF                       C_0402                                3.8200    -5.3380    0.0000  top
C30       0.1uF                       C_0402                                4.2960    -5.3270  180.0000  top
C34       0.1uF                       C_0402                                4.3060    -3.0740  180.0000  top
R1        0k                          R_0805                                5.5960    -1.3770  180.0000  top
R2        0k                          R_0805                                4.5790    -5.0740  180.0000  top
R3        220                         R_0805                                4.4876    -4.7170  180.0000  top
R4        220                         R_0805                                4.6424    -4.7160    0.0000  top
