Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402,106.934,-82.55,180.0,bottom
C2,0.1uF,C_0402,115.57,-84.328,90.0,bottom
C3,0.1uF,C_0402,117.348,-123.698,270.0,bottom
C4,4.7uF,C_0805,111.506,-132.08,90.0,top
C5,0.1uF,C_0402,104.648,-123.698,270.0,bottom
C6,0.1uF,C_0402,102.87,-123.698,270.0,bottom
C7,1uF,C_0805,119.38,-136.652,180.0,bottom
C8,1uF,C_0805,119.38,-128.524,180.0,bottom
C9,0.1uF,C_0402,133.35,-122.174,90.0,bottom
C10,0.1uF,C_0402,133.604,-129.794,270.0,bottom
C11,0.1uF,C_0402,126.746,-136.652,270.0,bottom
C12,0.1uF,C_0402,133.858,-136.652,90.0,bottom
C13,0.1uF,C_0402,135.89,-129.794,270.0,bottom
C14,0.1uF,C_0402,122.936,-66.802,0.0,top
C15,0.1uF,C_0402,115.866,-66.294,180.0,top
C16,0.1uF,C_0402,115.824,-69.342,180.0,top
C17,0.1uF,C_0402,122.936,-68.834,0.0,top
C18,0.1uF,C_0402,132.334,-99.06,270.0,bottom
C19,0.1uF,C_0402,137.414,-106.172,90.0,top
C20,0.1uF,C_0402,136.906,-97.028,90.0,bottom
C21,0.1uF,C_0402,147.447,-81.407,0.0,bottom
C22,0.1uF,C_0402,152.146,-86.868,270.0,bottom
C23,0.1uF,C_0402,140.716,-87.63,270.0,bottom
C24,0.1uF,C_0402,135.89,-122.174,90.0,bottom
C25,1uF,C_0805,128.524,-51.816,0.0,bottom
C26,1uF,C_0805,128.778,-58.928,0.0,bottom
C27,1uF,C_0805,132.334,-76.708,180.0,top
C28,1uF,C_0805,132.6515,-82.7024,0.0,bottom
C29,4.7uF,C_0805,123.698,-132.588,90.0,bottom
C30,4.7uF,C_0805,129.2225,-83.6676,90.0,bottom
C31,4.7uF,C_0805,125.222,-58.42,90.0,bottom
C32,0.1uF,C_0402,95.758,-118.364,270.0,bottom
C33,0.1uF,C_0402,102.87,-118.364,90.0,bottom
C34,0.1uF,C_0402,100.838,-123.698,90.0,bottom
C35,0.1uF,C_0402,94.234,-123.698,270.0,bottom
C36,0.1uF,C_0402,101.346,-128.524,270.0,bottom
C37,0.1uF,C_0402,106.934,-127.508,-90.0,top
C38,0.1uF,C_0402,92.71,-128.524,-90.0,top
C39,0.1uF,C_0402,99.568,-128.524,270.0,bottom
C40,0.1uF,C_0402,108.712,-128.524,270.0,bottom
C41,0.1uF,C_0402,112.268,-128.778,0.0,top
D1,UCLAMP0501H.TCT,SODFL1608X70N,113.792,-132.08,-90.0,top
D2,UCLAMP0501H.TCT,SODFL1608X70N,119.634,-136.398,-90.0,top
D3,UCLAMP0501H.TCT,SODFL1608X70N,132.334,-84.7852,180.0,bottom
D4,UCLAMP0501H.TCT,SODFL1608X70N,128.524,-62.23,180.0,bottom
IC1,SN74AVC4T245PWR,SOP65P640X120-16N,112.5347,-80.3275,180.0,bottom
IC2,AT24MAC402-MAHM-T,SON50P300X200X60-9N,120.65,-123.698,0.0,bottom
IC3,TCA9406DCUR,SOP50P310X90-8N,130.24104,-136.652,180.0,bottom
IC4,TCA9406DCUR,SOP50P310X90-8N,99.314,-118.364,180.0,bottom
IC5,TCA9406DCUR,SOP50P310X90-8N,97.536,-123.698,0.0,bottom
IC6,SN74AVC1T45DCKT,SOT65P210X110-6N,104.14,-128.524,180.0,bottom
IC7,SN74AVC1T45DCKT,SOT65P210X110-6N,111.76,-128.524,180.0,bottom
J1,ASP-134488-01,ASP-134488-01_VER2,124.968,-39.878,0.0,bottom
J2,QTH-060-01-L-D-A,QTH-060-01-X-D-A-QTH-060-01-X-D-A,149.86,-112.268,270.0,bottom
J3,Conn_01x08_Female,PinHeader_2x04_P2.54mm_Vertical,147.066,-52.451,0.0,top
JP1,Jumper_3_Bridged12,Pin_Header_Straight_1x03_Pitch2.54mm,113.03,-123.698,-90.0,top
JP2,Jumper,Pin_Header_Straight_1x02_Pitch2.54mm,112.014,-58.674,0.0,top
JP3,Jumper,Pin_Header_Straight_1x02_Pitch2.54mm,128.524,-67.564,0.0,top
R1,0,R_0805,137.16,-87.376,-90.0,top
R2,4.7k,R_0805,112.649,-76.073,180.0,top
R3,4.7k,R_0805,122.682,-124.714,-90.0,top
